"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"3649";"56905";"Table Entities - Excel";"";"";"No";"";"";"";"";"";"";"<p>In both Converse and Build test -</p><ol><li>Upload an excel files with multiple sheets with table detection enabled</li><li>Verify whether the table entities are coming up in the ""show detected objects"" popup icon</li><li>Verify that the table entities are highlighted in the sheets correctly</li></ol>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3653";"56908";"Model Selection - Multi doc vs Single doc";"";"";"No";"";"";"";"";"";"";"<p>The default model that is sent in the streaming API is decided based on multi doc vs single doc.</p><p>The model is decided based on the following:</p><ol><li>Non-Query Doc<ol><li>Single Doc - Advanced(gpt-4)</li><li>Multi Doc - Multi Step Lite</li></ol></li><li>Query Doc - Multi Step Lite</li></ol><p>Note: Query Doc is to be verified in Chatbots</p>";"";"";"";"Converse";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3109";"56631";"Multistep works for an existing doc";"";"";"No";"";"";"";"";"";"";"<p>Go to a document indexed in a previous version of the code. <br />Switch the model to multistep.</p><p>Ask a question</p>";"";"";"<p>The multistep works and returns a correct answer</p>";"Multistep mode";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3112";"56634";"Multistep on a new file";"";"";"No";"";"";"";"";"";"";"<p>Add apple-10 k</p><p><a href=""https://drive.google.com/file/d/1KmSy1mUMXiRlJ_rIkT5wPVD4x2pQ9jCP/view?usp=sharing"">https://drive.google.com/file/d/1KmSy1mUMXiRlJ_rIkT5wPVD4x2pQ9jCP/view?usp=sharing</a></p><p>Switch to multistep</p><p>Ask ""what is apple's best selling product""</p>";"";"";"<p>I responds it's the Iphone. You can see steps and click on pages</p>";"Multistep mode";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3113";"56635";"Multistep with visualization";"";"";"No";"";"";"";"";"";"";"<p>On apple-10k ask ""What regions are responsible for the most revenue, render as a pie chart""</p>";"";"";"<p>You see a char</p>";"Multistep mode";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3114";"56636";"Multistep long running question";"";"";"No";"";"";"";"";"";"";"<p>On apple-10k ask ""What are the risk factors company is facing""</p>";"";"";"<p>You'll see a bunch of steps with many pages read. Summarization might happen in between.</p><p>You get a valid response in the end</p>";"Multistep mode";"52";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3115";"56637";"Multistep with tables on single PDF";"";"";"No";"";"";"";"";"";"";"<p>Add the <a href=""https://aihub-sandbox.internal.instabase.com/instabase-sandbox-org/model-dev/fs/Annotation%20Group%20Prod%20Drive/datasets/aihub_benchmarks/tabular_data_framework/UAT_docs/affinetycreditunion_50pages.pdf"">affinetycreditunion_50pages</a> file with Tables turned on in the Project settings.</p><p>Toggle the ""Research Mode"" on</p><p>Ask ""Extract all tables with columns Date, Description, Withdrawals""</p>";"";"";"<p>It shows the tables with those columns present</p>";"Multistep mode";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3175";"56668";"Multidoc";"";"";"No";"";"";"";"";"";"";"<p>Add multiple files to the context. Run the prompt ""What are the documents provided? Format as a table with two columns, file name, file description for all the docs.""<br />It should list all the file names in the context correctly.</p><p>Try with only a subset of all the files as well.</p>";"";"";"";"Multistep mode";"14";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3176";"56669";"multidoc with csv";"";"";"No";"";"";"";"";"";"";"<p>Upload files from here: <a href=""https://drive.google.com/drive/folders/1SxaYg-ikvaEdCbDW81k2o8GbEoBAWhp8?usp=sharing"">https://drive.google.com/drive/folders/1SxaYg-ikvaEdCbDW81k2o8GbEoBAWhp8?usp=sharing</a></p><p> </p><p>Add all of them to the conversation and ask </p><p>who's the director of the movie with the highest imbd score?</p>";"";"";"<p>It should find that the highest scoring is The Sting and the director is George Hill</p>";"Multistep mode";"37";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3184";"56671";"DB Creation";"";"";"No";"";"";"";"";"";"";"<ul><li>Create a new project in converse on the UAT</li><li>Select the option: Object Detection and Multipage tables and Checkboxes </li><li><p>Upload all the docs in this folder</p><p><a href=""https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link"">https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link</a></p></li></ul>";"";"";"<ul><li>Digitization, indexing and DB creation should succeed - no error should be thrown</li><li>Navigate to <a href=""https://aihub-uat.internal.instabase.com/lalit.mohan_instabase.com/my-repo/fs/Instabase%20Drive/"">https://aihub-uat.internal.instabase.com/lalit.mohan_instabase.com/my-repo/fs/Instabase%20Drive/</a><code>aihub/&lt;project_id&gt;</code> and check if .db file is created inside <code>/documents/out/original/db_folder</code> folder eg  <a href=""https://aihub-uat.internal.instabase.com/lalit.mohan_instabase.com/my-repo/fs/Instabase%20Drive/aihub/bd797105-6336-4ea5-b17e-9d60c9ee2a2b/documents/out/original/db_folder/AAIBL%20Total%20Communication_530aa8a8f8027bb593fa82ef8cfdc74fd11ab7a5628a73c6aee5638f79632abb.pdf.ibdoc.db"">https://aihub-uat.internal.instabase.com/lalit.mohan_instabase.com/my-repo/fs/Instabase%20Drive/aihub/bd797105-6336-4ea5-b17e-9d60c9ee2a2b/documents/out/original/db_folder/AAIBL%20Total%20Communication_530aa8a8f8027bb593fa82ef8cfdc74fd11ab7a5628a73c6aee5638f79632abb.pdf.ibdoc.db</a></li></ul>";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
